Humidity(%),Temperature(°C),WaterFlow(%)
2.504504504504504325e+01,7.685685685685685087e+01,6.743260747824493251e+01
8.880880880880880568e+00,3.177177177177177114e+01,0.000000000000000000e+00
2.495695695695695449e+01,7.573573573573573015e+01,6.610590388555483798e+01
4.032832832832832537e+01,8.830830830830831246e+01,0.000000000000000000e+00
3.874274274274274177e+01,5.715715715715715817e+01,0.000000000000000000e+00
4.561361361361360878e+01,2.416416416416416268e+01,0.000000000000000000e+00
3.323723723723723822e+01,4.338338338338338929e+01,0.000000000000000000e+00
2.341541541541541704e+01,8.142142142142142802e+01,7.399971561167866696e+01
1.002602602602602566e+01,9.631631631631631763e+01,1.000000000000000000e+02
1.539939939939939961e+01,5.883883883883883925e+01,5.067041674876440993e+01
1.927527527527527695e+01,3.833833833833833893e+01,2.128360169308446359e+01
1.601601601601601743e+01,3.217217217217217495e+01,0.000000000000000000e+00
9.937937937937938671e+00,6.604604604604604390e+01,6.307122956437759598e+01
4.231031031031030665e+01,4.578578578578579084e+01,0.000000000000000000e+00
5.098698698698698450e+01,4.698698698698699161e+01,0.000000000000000000e+00
2.958158158158158102e+01,3.985985985985985991e+01,1.718573542406010546e+01
5.186786786786786507e+01,5.035035035035035378e+01,0.000000000000000000e+00
1.923123123123123435e+01,5.227227227227227502e+01,0.000000000000000000e+00
3.231231231231231504e+01,4.970970970970971337e+01,0.000000000000000000e+00
4.006406406406406262e+01,3.441441441441440929e+01,0.000000000000000000e+00
8.704704704704704810e+00,8.670670670670671143e+01,0.000000000000000000e+00
2.024424424424424274e+01,2.000000000000000000e+01,0.000000000000000000e+00
1.161161161161161104e+01,4.250250250250250161e+01,3.155393059601869865e+01
1.363763763763763848e+01,4.866866866866866559e+01,3.855061820785386573e+01
5.098698698698698450e+01,2.376376376376376243e+01,0.000000000000000000e+00
2.469269269269269174e+01,5.643643643643643770e+01,0.000000000000000000e+00
4.288288288288288186e+01,6.684684684684684441e+01,0.000000000000000000e+00
1.363763763763763848e+01,2.032032032032032021e+01,0.000000000000000000e+00
1.953953953953953970e+01,7.925925925925925242e+01,7.368309663467339021e+01
4.728728728728728470e+01,6.100100100100100065e+01,0.000000000000000000e+00
2.205005005005005003e+01,9.631631631631631763e+01,9.278543541110465753e+01
3.579179179179179471e+01,4.546546546546546352e+01,0.000000000000000000e+00
4.019619619619619044e+01,2.840840840840840897e+01,0.000000000000000000e+00
1.570770770770770852e+01,5.291291291291291543e+01,4.285647607041941143e+01
1.531131131131131085e+01,8.022022022022022725e+01,7.739556411322841711e+01
2.438438438438438283e+01,8.318318318318318916e+01,7.556433756330756069e+01
3.922722722722723177e+01,5.315315315315315559e+01,0.000000000000000000e+00
1.416616616616616753e+01,7.893893893893894642e+01,7.651493958528766370e+01
2.407607607607607392e+01,9.215215215215215494e+01,8.658544870568424301e+01
4.517317317317316849e+01,9.471471471471471659e+01,7.699751812887721769e+01
5.129529529529529697e+01,6.156156156156156101e+01,0.000000000000000000e+00
4.918118118118118076e+01,3.121121121121121078e+01,0.000000000000000000e+00
1.429829829829829890e+01,2.992992992992992995e+01,0.000000000000000000e+00
3.033033033033033021e+01,7.381381381381380891e+01,0.000000000000000000e+00
3.583583583583583732e+01,5.099099099099099419e+01,0.000000000000000000e+00
4.504104104104104067e+01,3.817817817817817883e+01,0.000000000000000000e+00
2.024424424424424274e+01,4.394394394394394254e+01,2.831221255073955234e+01
1.487087087087087056e+01,5.091091091091091414e+01,4.075116533063829394e+01
4.420420420420420271e+01,4.322322322322322208e+01,0.000000000000000000e+00
1.015815815815815881e+01,9.567567567567567721e+01,9.915570392085979279e+01
2.579379379379379245e+01,6.084084084084084054e+01,0.000000000000000000e+00
5.019419419419419626e+01,9.695695695695695804e+01,7.666297063316812910e+01
5.028228228228228147e+01,5.291291291291291543e+01,2.211129950528076549e+01
4.948948948948948612e+01,2.032032032032032021e+01,0.000000000000000000e+00
2.341541541541541704e+01,4.834834834834835249e+01,3.226191752478482755e+01
2.235835835835835894e+01,9.479479479479479664e+01,9.078247643375490838e+01
1.821821821821821885e+01,6.580580580580580374e+01,5.780125854541391561e+01
3.151951951951951614e+01,7.533533533533532989e+01,0.000000000000000000e+00
2.350350350350350226e+01,2.240240240240240155e+01,0.000000000000000000e+00
